Year,IP,CPI
1700,1.92,115
1701,2.11,100
1702,1.85,99
1703,2.16,94
1704,2.4,98
1705,2.35,89
1706,2.02,101
1707,2.08,88
1708,2.19,92
1709,2.15,107
1710,1.77,122
1711,2.1,135
1712,2.12,101
1713,2.26,97
1714,2.18,103
1715,2.22,104
1716,2.37,99
1717,2.58,95
1718,2.52,93
1719,2.62,97
1720,2.52,102
1721,2.44,100
1722,2.68,92
1723,2.69,89
1724,2.58,94
1725,2.63,97
1726,2.7,102
1727,2.66,96
1728,2.51,99
1729,2.41,104
1730,2.54,95
1731,2.5,88
1732,2.53,89
1733,2.65,85
1734,2.64,88
1735,2.65,89
1736,2.69,87
1737,2.63,93
1738,2.67,91
1739,2.7,89
1740,2.57,100
1741,2.64,108
1742,2.58,99
1743,2.63,94
1744,2.69,84
1745,2.64,85
1746,2.69,93
1747,2.76,90
1748,2.82,94
1749,2.87,96
1750,2.97,95
1751,2.95,90
1752,3.03,93
1753,3.02,90
1754,2.94,90
1755,2.99,92
1756,2.83,92
1757,2.98,109
1758,2.94,106
1759,2.99,100
1760,2.99,98
1761,3.09,94
1762,3.05,94
1763,3.03,100
1764,3.22,102
1765,3.13,106
1766,3.25,107
1767,3.42,109
1768,3.29,108
1769,3.43,99
1770,3.39,100
1771,3.49,107
1772,3.57,117
1773,3.5,119
1774,3.23,116
1775,3.32,113
1776,3.46,114
1777,3.51,108
1778,3.62,117
1779,3.38,111
1780,3.49,110
1781,3.61,115
1782,3.65,116
1783,3.73,129
1784,3.95,126
1785,3.96,120
1786,3.93,119
1787,4.13,117
1788,4.16,121
1789,4.2,117
1790,4.3,124
1791,4.42,121
1792,4.66,122
1793,4.49,129
1794,4.47,136
1795,4.64,147
1796,4.78,154
1797,4.56,148
1798,4.71,148
1799,5.13,160
1800,5.07,212
1801,4.87,228
1802,5.14,174
1803,5.19,156
1804,5.36,161
1805,5.48,187
1806,5.52,184
1807,5.74,186
1808,5.46,204
1809,5.6,212
1810,6.09,207
1811,6.4,206
1812,6.02,237
1813,6.07,243
1814,6.17,209
1815,6.71,191
1816,6.55,172
1817,7.16,189
1818,7.46,194
1819,7.21,192
1820,7.4,162
1821,7.71,139
1822,8.13,125
1823,8.56,128
1824,9.02,137.552238806
1825,9.85,144.2388059702
1826,8.99,129.9104477612
1827,10.2,126.0895522388
1828,10.9,128.9552238806
1829,10.5,132.776119403
1830,11.5,128.9552238806
1831,11.6,130.8656716418
1832,11.6,124.1791044776
1833,12.2,116.5373134328
1834,12.9,110.8059701493
1835,13.4,104.1194029851
1836,14.7,120.3582089552
1837,14,123.223880597
1838,15.3,132.776119403
1839,16.6,137.552238806
1840,16.2,133.7313432836
1841,16.5,128.9552238806
1842,15.7,120.3582089552
1843,16.6,107.9402985075
1844,18.7,112.7164179104
1845,19.7,109.8507462687
1846,19.7,115.5820895522
1847,19.1,134.6865671642
1848,20.9,109.8507462687
1849,21.2,100.2985074627
1850,21.2,97.4328358209
1851,22.1,95.5223880597
1852,23.9,97.4328358209
1853,25.6,109.8507462687
1854,25.6,116.5373134328
1855,25.5,115.5820895522
1856,27.3,115.5820895522
1857,28.4,118.447761194
1858,27.1,107.9402985075
1859,28.8,109.8507462687
1860,30.4,114.6268656716
1861,30,113.671641791
1862,30.2,114.6268656716
1863,30,116.5373134328
1864,31.9,116.5373134328
1865,33.9,114.6268656716
1866,34.9,115.5820895522
1867,34.4,115.5820895522
1868,35.5,114.6268656716
1869,35.3,112.7164179104
1870,38.4,111.7611940299
1871,41.3,114.6268656716
1872,42.5,121.727644961
1873,43.7,123.7564390437
1874,44.2,116.6556597543
1875,44.2,112.598071589
1876,44.7,111.5836745476
1877,45.4,111.5836745476
1878,44.6,105.4972922996
1879,42.8,102.4541011755
1880,48.2,106.5116893409
1881,50.9,104.4828952582
1882,53.5,103.4684982169
1883,54.5,103.4684982169
1884,52.2,98.3965130102
1885,50.4,92.3101307621
1886,49.9,90.2813366794
1887,53.7,89.2669396381
1888,57.2,89.2669396381
1889,60.9,90.2813366794
1890,61.8,90.2813366794
1891,62.3,90.2813366794
1892,59.1,91.2957337208
1893,58,90.2813366794
1894,61.8,86.2237485141
1895,64.2,84.1949544314
1896,68.8,84.1949544314
1897,69.6,86.2237485141
1898,72.8,89.2669396381
1899,76.3,87.2381455554
1900,76.4,92.3101307621
1901,75.8,91.2957337208
1902,76.6,91.2957337208
1903,75.5,92.3101307621
1904,76.2,93.3245278035
1905,81.7,93.3245278035
1906,85.9,94.3389248448
1907,88.7,96.3677189275
1908,82.6,94.3389248448
1909,83.6,95.3533218861
1910,84.9,97.3821159688
1911,90.8,98.3965130102
1912,93.3,101.4397041342
1913,100,103.4684982169
